name,description,Thematic_Unit_Images
Rosh Hashanah,"Celebrate the Jewish New Year with a Rosh Hashanah feast featuring honey-glazed carrots and challah bread.",images\Thematic Units\Rosh_Hashanah.jpg
Halloween Banquet,"Host a spooky Halloween banquet with ghoulish delights like pumpkin soup and monster-shaped cookies.",images\Thematic Units\Halloween_Banquet.jpg
Mid-Autumn Festival,"Gather under the moonlight and celebrate the Mid-Autumn Festival with mooncakes and tea.",images\Thematic Units\Mid_Autumn_Festival.jpg
Harvest Moon Dinner,"Celebrate the autumn equinox with a harvest moon dinner featuring seasonal squash and apple pie.",images\Thematic Units\Harvest_Moon_Dinner.jpg
Sukkot Festival,"Celebrate Sukkot with a harvest festival feast featuring traditional Jewish dishes and outdoor dining.",images\Thematic Units\Sukkot_Festival.jpg
Spring Equinox,"Welcome the arrival of spring with a lively equinox soirée featuring fresh salads and floral cocktails.",images\Thematic Units\Spring_Equinox.jpg
Lunar New Year,"Ring in the Lunar New Year with a dumpling party featuring homemade dumplings and dipping sauces.",images\Thematic Units\Lunar_New_Year.jpg
Eid al-Fitr Feast,"Celebrate the end of Ramadan with an Eid al-Fitr feast featuring savory biryani and sweet baklava.",images\Thematic Units\Eid_al_Fitr_Feast.jpg
Carnival Celebration,"Join the carnival festivities with a colorful celebration featuring Brazilian feijoada and caipirinhas.",images\Thematic Units\Carnival_Celebration.jpg
Cherry Blossom Picnic,"Admire the beauty of cherry blossoms with a picturesque picnic featuring sushi rolls and matcha desserts.",images\Thematic Units\Cherry_Blossom_Picnic.jpg
Winter Olympics,"Cheer on your favorite athletes with a Winter Olympics gathering featuring global cuisine and medal-worthy snacks.",images\Thematic Units\Winter_Olympics.jpg
Summer Olympics,"Celebrate the Summer Olympics with a cookout featuring international barbecue favorites and refreshing cocktails.",images\Thematic Units\Summer_Olympics.jpg
Fiesta de San Fermín,"Join the excitement of the Running of the Bulls with a Spanish fiesta featuring tapas and sangria.",images\Thematic Units\Fiesta_de_San_Fermin.jpg
Christmas Feast,"Gather with loved ones for a festive Christmas Eve feast featuring roast goose and mulled wine.",images\Thematic Units\Christmas_Feast.jpg
Día de los Reyes,"Celebrate Three Kings Day with a festive feast featuring Roscón de Reyes and hot chocolate.",images\Thematic Units\Dia_de_los_Reyes.jpg
Midsummer Smörgåsbord,"Experience the Swedish tradition of Midsummer with a smörgåsbord featuring pickled herring and meatballs.",images\Thematic Units\Midsummer_Smorgasbord.jpg
Winter Solstice,"Welcome the return of light with a winter solstice celebration featuring hearty soups and warm bread.",images\Thematic Units\Winter_Solstice.jpg
Bastille Day Picnic,"Enjoy a leisurely Bastille Day picnic with French baguettes, cheeses, and macarons.",images\Thematic Units\Bastille_Day_Picnic.jpg
Womens Day Luncheon,"Celebrate womens achievements with an International Womens Day luncheon featuring global cuisine and empowerment.",images\Thematic Units\Womens_Day_Luncheon.jpg
Summer Festival,"Rock out at a summer music festival with festival fare like burgers, fries, and ice cream cones.",images\Thematic Units\Summer_Festival.jpg
Oktoberfest Garden,"Raise a stein in a traditional Oktoberfest beer garden with pretzels, bratwurst, and steaming mugs of beer.",images\Thematic Units\Oktoberfest_Garden.jpg
