name,manual,Equipment_Images
Grill,"Preheat a grill to the desired temperature and cook meats, vegetables, or seafood over direct heat.",images\Equipment\Grill.jpg
Grinder,"Grind spices, coffee beans, or grains to the desired consistency using a grinder with adjustable settings.",images\Equipment\Grinder.jpg
Immersion Blender,"Blend soups, sauces, or smoothies directly in the pot or container using an immersion blender.",images\Equipment\Immersion_Blender.jpg
Knife,"Use a knife with a sharp blade to slice, dice, or chop ingredients with precision and control.",images\Equipment\Knife.jpg
Large Dutch Oven,"Prepare large batches of soups, stews, or braised dishes in a large Dutch oven for family meals or gatherings.",images\Equipment\Large_Dutch_Oven.jpg
Large Pot,"Boil pasta, simmer soups, or cook grains in a large pot with ample capacity and sturdy construction.",images\Equipment\Large_Pot.jpg
Large Skillet,"Cook meats, vegetables, or stir-fries in a large skillet with high sides and a non-stick surface.",images\Equipment\Large_Skillet.jpg
Large bowl,"Mix large quantities of ingredients, toss salads, or serve dishes in a large bowl for gatherings or parties.",images\Equipment\Large_Bowl.jpg
Lime Squeezer,"Extract juice from limes quickly and efficiently using a lime squeezer with a sturdy construction.",images\Equipment\Lime_Squeezer.jpg
Marinade Bowl,"Marinate meats, poultry, or seafood in a marinade bowl, ensuring even coating and flavor absorption.",images\Equipment\Marinade_Bowl.jpg
Marinate Bowl,"Marinate meats, poultry, or seafood in a marinate bowl, ensuring even coating and flavor absorption.",images\Equipment\Marinate_Bowl.jpg
Masher,"Mash potatoes, beans, or vegetables to the desired consistency using a masher with a comfortable handle.",images\Equipment\Masher.jpg
Measuring Cups,"Measure dry or liquid ingredients accurately using measuring cups with clearly marked increments.",images\Equipment\Measuring_Cups.jpg
Measuring Spoons,"Measure small quantities of dry or liquid ingredients accurately using measuring spoons with clearly marked increments.",images\Equipment\Measuring_Spoons.jpg
Meat Thermometer,"Check the internal temperature of meats to ensure they are cooked to the proper doneness using a meat thermometer.",images\Equipment\Meat_Thermometer.jpg
Mixing Bowl,"Combine ingredients, whisk batters, or toss salads in a mixing bowl with a wide base and sturdy construction.",images\Equipment\Mixing_Bowl.jpg
Mixing spoon,"Stir, mix, or fold ingredients together using a mixing spoon with a long handle and comfortable grip.",images\Equipment\Mixing_spoon.jpg
Non-Stick Pan,"Cook foods, such as eggs or pancakes, with minimal oil or butter in a non-stick pan for easy release.",images\Equipment\Non_Stick_Pan.jpg
Oven,"Preheat the oven to the desired temperature and bake or roast dishes to perfection.",images\Equipment\Oven.jpg
OvenMitts,"Protect your hands from heat when handling hot dishes or pans using oven mitts with heat-resistant material.",images\Equipment\OvenMitts.jpg
Pan,"Heat oil or butter in a pan and cook foods, such as meats or vegetables, over medium to high heat.",images\Equipment\Pan.jpg
Paper towels,"Use paper towels to absorb excess moisture, wipe surfaces, or cover foods when microwaving.",images\Equipment\Paper_towels.jpg
Parchment Paper,"Line baking sheets or pans with parchment paper to prevent sticking and ensure easy cleanup.",images\Equipment\Parchment_Paper.jpg
Pastry Brush,"Apply egg wash, oil, or glaze to pastries, meats, or vegetables evenly with a pastry brush.",images\Equipment\Pastry_Brush.jpg
Pastry cutter,"Cut butter or shortening into flour for pie crusts, biscuits, or scones using a pastry cutter with sharp blades.",images\Equipment\Pastry_cutter.jpg
Peeler,"Peel fruits or vegetables with precision using a peeler with a sharp blade and comfortable handle.",images\Equipment\Peeler.jpg
Pie Plate,"Bake pies, quiches, or tarts with flaky crusts and delicious fillings in a pie plate with a wide rim.",images\Equipment\Pie_Plate.jpg
Plastic Wrap,"Cover dishes, wrap foods, or seal containers using plastic wrap to keep them fresh and protected.",images\Equipment\Plastic_Wrap.jpg
Plate,"Serve meals, appetizers, or desserts on a plate for easy dining and presentation.",images\Equipment\Plate.jpg
Pot,"Boil, simmer, or stew ingredients in a pot with a tight-fitting lid and sturdy construction.",images\Equipment\Pot.jpg
Potato Masher,"Mash boiled potatoes or root vegetables to the desired consistency using a potato masher with a sturdy construction.",images\Equipment\Potato_Masher.jpg
Rolling Pin,"Roll out dough for pies, cookies, or pastries evenly using a rolling pin with smooth, tapered ends.",images\Equipment\Rolling_Pin.jpg
Salad Spinner,"Rinse and dry salad greens quickly and efficiently using a salad spinner with a removable basket.",images\Equipment\Salad_Spinner.jpg
Saucepan,"Heat sauces, soups, or liquids evenly over medium to low heat in a saucepan with a long handle and spout.",images\Equipment\Saucepan.jpg
Skewers,"Thread meats, vegetables, or seafood onto skewers for grilling, roasting, or broiling.",images\Equipment\Skewers.jpg
Skillet,"Cook meats, vegetables, or stir-fries over medium to high heat in a skillet with a flat bottom and sloped sides.",images\Equipment\Skillet.jpg
Slotted Spoon,"Remove foods from liquids while leaving excess behind using a slotted spoon with slots or perforations.",images\Equipment\Slotted_Spoon.jpg
Spatula,"Flip, lift, or serve foods with ease using a spatula with a thin, flexible blade and sturdy handle.",images\Equipment\Spatula.jpg
Spoon,"Stir, scoop, or serve foods with a spoon, available in various sizes and materials for different purposes.",images\Equipment\Spoon.jpg
Stockpot,"Simmer soups, boil pasta, or cook large batches of broth in a stockpot with ample capacity and sturdy construction.",images\Equipment\Stockpot.jpg
Toaster,"Toast bread, bagels, or pastries to the desired level of crispiness using a toaster with adjustable settings.",images\Equipment\Toaster.jpg
Tongs,"Flip, turn, or lift foods with precision using tongs with scalloped edges and a locking mechanism.",images\Equipment\Tongs.jpg
Whisk,"Whisk batters, mix ingredients, or incorporate air into sauces using a whisk with wire loops and a comfortable grip.",images\Equipment\Whisk.jpg
Wok,"Stir-fry meats, vegetables, or noodles over high heat in a wok with sloped sides and a wide, flat bottom.",images\Equipment\Wok.jpg
